medcodeid	term
503469016	Pontine haemorrhage
106392017	Basilar artery syndrome
300363010	Anterior cerebral artery syndrome
123511000006114	Subarachnoid haemorrhage from middle cerebral artery
402929011	Subarachnoid haemorrhage following injury without open intracranial wound
345655015	Pure motor lacunar syndrome
300309012	Vertebral artery occlusion
9912271000006112	Cerebellar stroke
8044481000006118	Ischaemic stroke without coma
300322016	Cerebral infarction due to embolism of cerebral arteries
5011051000006116	Total anterior cerebral circulation infarction
300242011	Ruptured berry aneurysm
300290016	Other and unspecified intracranial haemorrhage
300939013	Cerebral haemorrhage
542261000006114	Cerebral infarction due to occlusion of precerebral artery
123481000006118	Subarachnoid haemorrhage from anterior communicating artery
496232015	Internal capsule haemorrhage
130375018	Lateral medullary syndrome
451371010	H/O: Stroke in last year
300313017	Cerebral infarction due to embolism of precerebral arteries
748941000006115	Left sided intracerebral haemorrhage, unspecified
1227592012	[V]Personal history of cerebrovascular accident (CVA)
345675012	Lobar cerebral haemorrhage
884421000006119	Cerebral haemorrhage
660111000006117	Nontraumatic extradural haemorrhage
163261000006119	Right sided intracerebral haemorrhage, unspecified
300303013	Basilar artery occlusion
7054171000006115	Acute lacunar infarction
345650013	Brainstem infarction NOS
5011471000006116	Posterior circulation stroke of uncertain pathology
542251000006112	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic
6348301000006119	Embolic stroke
5011411000006113	Thalamic haemorrhage
495394013	Cortical haemorrhage
505324014	Traumatic cerebral haemorrhage
1.22231010000e+16	Intracerebral haemorrhage
345658018	Pure sensory lacunar syndrome
123521000006118	Subarachnoid haemorrhage from posterior communicating artery
5011041000006118	Anterior cerebral circulation infarction
123441000006112	Subarachnoid haemorrh from intracranial artery, unspecif
300395011	Occlusion and stenosis of middle cerebral artery
5967391000006111	Multiple lacunar infarcts
744921000006116	Intracerebral haemorrhage in hemisphere, unspecified
1212072018	Occlusive stroke
391042012	Subarachnoid haemorrhage following injury
300956017	[X]Intracerebral haemorrhage in hemisphere, unspecified
5011291000006119	Haemorrhagic cerebral infarction
123491000006115	Subarachnoid haemorrhage from basilar artery
5011461000006111	Anterior circulation stroke of uncertain pathology
370701000006118	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
5583061000006119	Subarachnoid haemorrhage from anterior communicating artery aneurysm
542831000006116	Cerebral embolus
57341000006119	Wallenberg's syndrome
300936018	[X]Other subarachnoid haemorrhage
3818181000006114	Lacunar infarct
5518041000006112	Spontaneous subarachnoid haemorrhage
320853015	Other cerebral haemorrhage following injury
3508964014	Cerebrovascular accident due to thrombus of left middle cerebral artery
6846141000006118	Cardioembolic stroke
370661000006114	[X]Cereb infarct due unsp occlus/stenos precerebr arteries
5583021000006113	Subarachnoid haemorrhage from middle cerebral artery aneurysm
884451000006111	Cerebral haemorrhage NOS
4777881000006112	Intracerebral haemorrhage, multiple localised
5011161000006115	Lacunar stroke
5583081000006112	Subarachnoid haemorrhage from posterior communicating artery aneurysm
5011191000006111	Pure motor lacunar infarction
428181000006115	Subarachnoid hemorrhage
746571000006116	Intracerebral haemorrhage, multiple localized
300399017	Occlusion and stenosis of cerebellar arteries
3508961018	Cerebrovascular accident due to thrombus of right middle cerebral artery
5011451000006114	Stroke of uncertain pathology
605481000006110	CVA - cerebrovascular accident in the puerperium
1.39099010000e+16	Cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage
3505637014	Occlusion of left middle cerebral artery
3509794017	Cerebrovascular accident due to occlusion of left middle cerebral artery
300276019	External capsule haemorrhage
300398013	Occlusion and stenosis of posterior cerebral artery
7071901000006111	Thalamic infarction
1.27619010000e+16	Subarachnoid hemorrhage
3508955016	Cerebrovascular accident due to thrombus of basilar artery
7855631000006111	Cerebral ischaemic stroke due to small artery occlusion
6348291000006115	Thrombotic stroke
5011141000006119	Posterior cerebral circulation stroke
123381000006110	Subarachnoid haemorrhage following injury with open intracranial wound, with no loss of consciousness
5011211000006112	Pure sensory lacunar infarction
1.40142510000e+16	Cerebrovascular accident due to occlusion of bilateral pontine arteries
5011111000006118	Partial anterior cerebral circulation stroke
345639010	Infarction - precerebral
3505639012	Occlusion of right middle cerebral artery
6990991000006112	Ischemic stroke
3509810017	Cerebrovascular accident due to occlusion of right middle cerebral artery
4540691000006112	History of subarachnoid haemorrhage
884431000006116	Extradural haemorrhage
1.22231210000e+16	ICH - intracerebral haemorrhage
300935019	[X]Subarachnoid haemorrhage from other intracranial arteries
7067291000006113	Infarction of medulla oblongata
2622631000006114	Intrapontine haemorrhage
4056931000006116	Brain stem haemorrhage
5011121000006114	PACS - Partial anterior cerebral circulation stroke
1.39098810000e+16	Cerebral ischaemic stroke due to global hypoperfusion with watershed infarct
884481000006115	Vertebral artery occluded
7378271000006116	Intracranial haemorrhage following injury
3507383012	Spontaneous haemorrhage of cortical intracerebral hemisphere
300253017	Subarachnoid haemorrhage from vertebral artery
300396012	Occlusion and stenosis of anterior cerebral artery
7598981000006119	Cerebral infarction due to embolism of middle cerebral artery
3509790014	Cerebrovascular accident due to occlusion of right posterior cerebral artery
300244012	Subarachnoid haemorrhage from carotid siphon and bifurcation
1.37186210000e+16	History of cerebrovascular accident due to ischaemia
1.39098610000e+16	Cerebral ischaemic stroke due to dissection of artery
35801000006116	Other cerebral h'ge after injury no open intracranial wound
5011071000006114	Total anterior cerebral circulation stroke
5589641000006112	Intracerebellar and posterior fossa haemorrhage
884461000006113	Basilar artery occluded
7515281000006115	Multiple lacunar infarcts
2871271000006114	Intraventricular haemorrhage
5011241000006111	Lacunar ataxic hemiparesis
5011351000006119	Posterior cerebral circulation haemorrhagic infarction
320735017	Subarachnoid haemorrhage following injury with open intracranial wound
483988011	Bulbar haemorrhage
267321000006114	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
267311000006118	Occlusion and stenosis of multiple and bilateral cerebral arteries
7378421000006118	Traumatic intracerebral haemorrhage
1.22231110000e+16	Intracerebral hemorrhage
2832651000006111	Subcortical haemorrhage
3777981000006119	Posterior inferior cerebellar artery syndrome
480952017	Perinatal subarachnoid haemorrhage
5011081000006112	TACS - Total anterior cerebral circulation stroke
7071911000006114	Thalamic stroke
5011581000006119	Subarachnoid haemorrhage due to ruptured aneurysm
3778021000006116	LMS - Lateral medullary syndrome
5597281000006110	Ruptured cerebral arteriovenous malformation
426231000006114	[X]Sequelae of other nontraumatic intracranial haemorrhage
5011101000006116	PACI - Partial anterior cerebral circulation infarction
884501000006113	Cerebral A. occlusion NOS
320897016	Other cerebral haemorrhage following injury NOS
316519019	Subarachnoid haemorrhage due to birth injury
3508962013	Stroke due to thrombus of right middle cerebral artery
5011171000006110	LACI - Lacunar infarction
5011431000006119	Lacunar haemorrhage
2841141000006111	SAH - Subarachnoid haemorrhage
3508965010	Stroke due to thrombus of left middle cerebral artery
9875951000006116	Cerebrovascular accident due to right carotid artery stenosis
3509799010	Cerebrovascular accident due to occlusion of left posterior cerebral artery
1.37171710000e+16	Cerebrovascular accident due to stenosis of bilateral carotid arteries
3505651014	Occlusion of left posterior cerebral artery
5597521000006114	Ruptured aneurysm of anterior communicating artery
3505653012	Occlusion of right posterior cerebral artery
3441831000006111	Progressing stroke
5011061000006119	TACI - Total anterior cerebral circulation infarction
8031281000006118	Cerebral infarction due to stenosis of carotid artery
9875961000006116	Cerebrovascular accident due to left carotid artery stenosis
3510963013	Lacunar ataxic hemiparesis of left dominant side
7599001000006116	Cerebral infarction due to thrombosis of middle cerebral artery
3510961010	Lacunar ataxic hemiparesis of right dominant side
3508958019	Cerebrovascular accident due to thrombus of right carotid artery
5011231000006118	Pure sensorimotor lacunar infarction
5058411000006114	Ruptured cerebral aneurysm
5518071000006116	SAH - Spontaneous subarachnoid haemorrhage
5011331000006114	Anterior cerebral circulation haemorrhagic infarction
2871261000006119	Intraventricular hemorrhage
3508952018	Cerebrovascular accident due to thrombus of left carotid artery
2622651000006119	Pontine hemorrhage
3509792018	Cerebrovascular accident due to occlusion of left carotid artery
7855711000006113	Stroke co-occurrent with migraine
3636133016	Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus
5597491000006112	Ruptured aneurysm of middle cerebral artery
8045741000006119	Nontraumatic intraparenchymal cerebral haemorrhage
3533574016	Spontaneous intracranial haemorrhage
3636136012	Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus
4777861000006119	Intracerebral haemorrhage with intraventricular haemorrhage
6837051000006119	Basal ganglion stroke
1.40142810000e+16	Cerebrovascular accident due to stenosis of bilateral vertebral arteries
411416011	Stroke in the puerperium
4777811000006117	Basal ganglia hemorrhage
1.22231310000e+16	ICH - intracerebral hemorrhage
307879017	Puerperal cerebrovascular disorder unspecified
3509817019	Left hemispheric cerebellar artery embolism with stroke
7703601000006113	Post stroke pain
9875641000006112	Cerebrovascular accident due to right carotid artery occlusion
1.37186010000e+16	History of embolic cerebrovascular accident
123411000006113	Subarachnoid h'ge inj no open intracran wnd+no loss consc
2520541000006112	Intracranial hemorrhage
2871241000006118	Ventricular haemorrhage
3636969013	Occlusion of right middle cerebral artery by embolus
5011421000006117	Thalamic hemorrhage
5597571000006110	Ruptured aneurysm of posterior communicating artery
7378401000006111	Traumatic intracerebral hemorrhage
123391000006113	Subarachnoid h'ge inj no open intracran wnd+<1hr loss consc
2841151000006113	SAH - Subarachnoid hemorrhage
307880019	Puerperal cerebrovascular disorder - delivered
